CMPLNT_NUM,LAW_CAT_CD,OFNS_DESC,RPT_DT,Latitude,Longitude,Lat_Lon,index_right,BoroCode,BoroName,NTA_Code_x,NTAName,NTAAbbrev,NTAType,CDTA2020,CDTAName,Shape_Leng,Shape_Area,Neighborhood,Population_x,Borough,Year,FIPS County Code,NTA_Code_y,Population_y
284128862,M,PETIT LARCENY,3/21/2024,40.567358,-74.112884,"(40.567358, -74.112884)",248,5,Staten Island,SI0202,New Dorp-Midland Beach,NwDrp_MBch,0,SI02,SI02 Mid-Island (CD 2 Approximation),50207.45273,62182628.81,New Dorp-Midland Beach,,Staten Island,2000,85,SI45,20242
284128862,M,PETIT LARCENY,3/21/2024,40.567358,-74.112884,"(40.567358, -74.112884)",248,5,Staten Island,SI0202,New Dorp-Midland Beach,NwDrp_MBch,0,SI02,SI02 Mid-Island (CD 2 Approximation),50207.45273,62182628.81,New Dorp-Midland Beach,,Staten Island,2010,85,SI45,21896
283801078,M,SEX CRIMES,3/15/2024,40.60221617,-74.0029508,"(40.6022161657077, -74.0029507988395)",36,3,Brooklyn,BK1102,Bath Beach,BthBch,0,BK11,BK11 Bensonhurst-Bath Beach (CD 11 Approximation),22422.37382,20556458.01,Bath Beach,,Brooklyn,2000,47,BK27,28572
283801078,M,SEX CRIMES,3/15/2024,40.60221617,-74.0029508,"(40.6022161657077, -74.0029507988395)",36,3,Brooklyn,BK1102,Bath Beach,BthBch,0,BK11,BK11 Bensonhurst-Bath Beach (CD 11 Approximation),22422.37382,20556458.01,Bath Beach,,Brooklyn,2010,47,BK27,29931
287494306,M,CRIMINAL TRESPASS,5/26/2024,40.729567,-74.002945,"(40.729567, -74.002945)",123,1,Manhattan,MN0203,West Village,WstVlg,0,MN02,MN02 Greenwich Village-SoHo (CD 2 Equivalent),23882.33934,14417744.13,West Village,,Manhattan,2000,61,MN23,68483
287494306,M,CRIMINAL TRESPASS,5/26/2024,40.729567,-74.002945,"(40.729567, -74.002945)",123,1,Manhattan,MN0203,West Village,WstVlg,0,MN02,MN02 Greenwich Village-SoHo (CD 2 Equivalent),23882.33934,14417744.13,West Village,,Manhattan,2010,61,MN23,66880
285910297,F,DANGEROUS DRUGS,4/25/2024,40.602464,-74.00346,"(40.602464, -74.00346)",36,3,Brooklyn,BK1102,Bath Beach,BthBch,0,BK11,BK11 Bensonhurst-Bath Beach (CD 11 Approximation),22422.37382,20556458.01,Bath Beach,,Brooklyn,2000,47,BK27,28572
285910297,F,DANGEROUS DRUGS,4/25/2024,40.602464,-74.00346,"(40.602464, -74.00346)",36,3,Brooklyn,BK1102,Bath Beach,BthBch,0,BK11,BK11 Bensonhurst-Bath Beach (CD 11 Approximation),22422.37382,20556458.01,Bath Beach,,Brooklyn,2010,47,BK27,29931
283815370,M,FRAUDS,3/15/2024,40.562577,-74.103942,"(40.562577, -74.103942)",248,5,Staten Island,SI0202,New Dorp-Midland Beach,NwDrp_MBch,0,SI02,SI02 Mid-Island (CD 2 Approximation),50207.45273,62182628.81,New Dorp-Midland Beach,,Staten Island,2000,85,SI45,20242
283815370,M,FRAUDS,3/15/2024,40.562577,-74.103942,"(40.562577, -74.103942)",248,5,Staten Island,SI0202,New Dorp-Midland Beach,NwDrp_MBch,0,SI02,SI02 Mid-Island (CD 2 Approximation),50207.45273,62182628.81,New Dorp-Midland Beach,,Staten Island,2010,85,SI45,21896
289523981,M,DANGEROUS WEAPONS,7/3/2024,40.62903282,-74.001931,"(40.629032815119494, -74.00193100275327)",32,3,Brooklyn,BK1002,Dyker Heights,DykrHts,0,BK10,BK10 Bay Ridge-Dyker Heights (CD 10 Approximation),25001.4907,29119073.24,Dyker Heights,,Brooklyn,2000,47,BK30,39332
289523981,M,DANGEROUS WEAPONS,7/3/2024,40.62903282,-74.001931,"(40.629032815119494, -74.00193100275327)",32,3,Brooklyn,BK1002,Dyker Heights,DykrHts,0,BK10,BK10 Bay Ridge-Dyker Heights (CD 10 Approximation),25001.4907,29119073.24,Dyker Heights,,Brooklyn,2010,47,BK30,42419
287098236,F,ROBBERY,5/18/2024,40.62606293,-73.99701717,"(40.62606293023729, -73.99701716579553)",39,3,Brooklyn,BK1202,Borough Park,BoroPk,0,BK12,BK12 Borough Park-Kensington (CD 12 Approximation),28481.07934,40481286.01,Borough Park,,Brooklyn,2000,47,BK88,101055
287098236,F,ROBBERY,5/18/2024,40.62606293,-73.99701717,"(40.62606293023729, -73.99701716579553)",39,3,Brooklyn,BK1202,Borough Park,BoroPk,0,BK12,BK12 Borough Park-Kensington (CD 12 Approximation),28481.07934,40481286.01,Borough Park,,Brooklyn,2010,47,BK88,106357
284874506,M,INTOXICATED & IMPAIRED DRIVING,4/6/2024,40.633374,-74.119341,"(40.633374, -74.119341)",244,5,Staten Island,SI0106,Port Richmond,PrtRchmnd,0,SI01,SI01 North Shore (CD 1 Equivalent),39708.16109,36236919.44,Port Richmond,,Staten Island,2000,85,SI28,18042
284874506,M,INTOXICATED & IMPAIRED DRIVING,4/6/2024,40.633374,-74.119341,"(40.633374, -74.119341)",244,5,Staten Island,SI0106,Port Richmond,PrtRchmnd,0,SI01,SI01 North Shore (CD 1 Equivalent),39708.16109,36236919.44,Port Richmond,,Staten Island,2010,85,SI28,20191
281718063,M,VEHICLE AND TRAFFIC LAWS,2/6/2024,40.64002038,-74.13040743,"(40.640020381253514, -74.13040743494656)",244,5,Staten Island,SI0106,Port Richmond,PrtRchmnd,0,SI01,SI01 North Shore (CD 1 Equivalent),39708.16109,36236919.44,Port Richmond,,Staten Island,2000,85,SI28,18042
281718063,M,VEHICLE AND TRAFFIC LAWS,2/6/2024,40.64002038,-74.13040743,"(40.640020381253514, -74.13040743494656)",244,5,Staten Island,SI0106,Port Richmond,PrtRchmnd,0,SI01,SI01 North Shore (CD 1 Equivalent),39708.16109,36236919.44,Port Richmond,,Staten Island,2010,85,SI28,20191
286431911,F,GRAND LARCENY OF MOTOR VEHICLE,5/6/2024,40.63036398,-74.00413589,"(40.63036397962397, -74.00413588689898)",39,3,Brooklyn,BK1202,Borough Park,BoroPk,0,BK12,BK12 Borough Park-Kensington (CD 12 Approximation),28481.07934,40481286.01,Borough Park,,Brooklyn,2000,47,BK88,101055
286431911,F,GRAND LARCENY OF MOTOR VEHICLE,5/6/2024,40.63036398,-74.00413589,"(40.63036397962397, -74.00413588689898)",39,3,Brooklyn,BK1202,Borough Park,BoroPk,0,BK12,BK12 Borough Park-Kensington (CD 12 Approximation),28481.07934,40481286.01,Borough Park,,Brooklyn,2010,47,BK88,106357
287531939,M,PETIT LARCENY,5/27/2024,40.63727847,-74.1278475,"(40.63727846655891, -74.12784750271562)",244,5,Staten Island,SI0106,Port Richmond,PrtRchmnd,0,SI01,SI01 North Shore (CD 1 Equivalent),39708.16109,36236919.44,Port Richmond,,Staten Island,2000,85,SI28,18042
287531939,M,PETIT LARCENY,5/27/2024,40.63727847,-74.1278475,"(40.63727846655891, -74.12784750271562)",244,5,Staten Island,SI0106,Port Richmond,PrtRchmnd,0,SI01,SI01 North Shore (CD 1 Equivalent),39708.16109,36236919.44,Port Richmond,,Staten Island,2010,85,SI28,20191
287880587,M,ASSAULT 3 & RELATED OFFENSES,6/3/2024,40.576201,-74.095403,"(40.576201, -74.095403)",248,5,Staten Island,SI0202,New Dorp-Midland Beach,NwDrp_MBch,0,SI02,SI02 Mid-Island (CD 2 Approximation),50207.45273,62182628.81,New Dorp-Midland Beach,,Staten Island,2000,85,SI45,20242
287880587,M,ASSAULT 3 & RELATED OFFENSES,6/3/2024,40.576201,-74.095403,"(40.576201, -74.095403)",248,5,Staten Island,SI0202,New Dorp-Midland Beach,NwDrp_MBch,0,SI02,SI02 Mid-Island (CD 2 Approximation),50207.45273,62182628.81,New Dorp-Midland Beach,,Staten Island,2010,85,SI45,21896
289618552,M,VEHICLE AND TRAFFIC LAWS,7/6/2024,40.63534594,-74.13521546,"(40.635345940551126, -74.13521546052527)",244,5,Staten Island,SI0106,Port Richmond,PrtRchmnd,0,SI01,SI01 North Shore (CD 1 Equivalent),39708.16109,36236919.44,Port Richmond,,Staten Island,2000,85,SI28,18042
289618552,M,VEHICLE AND TRAFFIC LAWS,7/6/2024,40.63534594,-74.13521546,"(40.635345940551126, -74.13521546052527)",244,5,Staten Island,SI0106,Port Richmond,PrtRchmnd,0,SI01,SI01 North Shore (CD 1 Equivalent),39708.16109,36236919.44,Port Richmond,,Staten Island,2010,85,SI28,20191
